"Area","Average value June 2018","Average value June 2017","Change value"
"New Zealand","$675,680","$639,051","5.7%"
"Main Urban Areas","$790,027","$751,563","5.1%"
"Auckland Area","$1,053,575","$1,045,059","0.8%"
"Wellington Area","$639,112","$609,552","4.8%"
"Far North District","$412,220","$408,416","0.9%"
"Whangarei District","$525,816","$492,588","6.7%"
"Kaipara District","$534,368","$520,852","2.6%"
"Rodney District","$957,145","$955,814","0.1%"
"Rodney - Hibiscus Coast","$934,930","$928,686","0.7%"
"Rodney - North","$979,832","$984,933","-0.5%"
"North Shore City","$1,224,965","$1,203,775","1.8%"
"North Shore - Coastal","$1,399,222","$1,376,695","1.6%"
"North Shore - Onewa","$972,081","$956,862","1.6%"
"North Shore - North Harbour","$1,213,442","$1,190,626","1.9%"
"Waitakere City","$826,625","$823,630","0.4%"
"Auckland City","$1,243,037","$1,228,005","1.2%"
"Auckland City - Central","$1,083,584","$1,073,116","1.0%"
"Auckland_City - East","$1,564,605","$1,534,921","1.9%"
"Auckland City - South","$1,105,723","$1,103,498","0.2%"
"Auckland City - Islands","$1,175,112","$1,099,383","6.9%"
"Manukau City","$903,686","$900,766","0.3%"
"Manukau - East","$1,155,930","$1,169,679","-1.2%"
"Manukau - Central","$699,672","$684,184","2.3%"
"Manukau - North West","$782,457","$771,795","1.4%"
"Papakura District","$702,677","$677,340","3.7%"
"Franklin District","$662,417","$666,845","-0.7%"
"Thames-Coromandel District","$734,202","$710,548","3.3%"
"Hauraki District","$403,558","$392,066","2.9%"
"Waikato District","$483,490","$453,496","6.6%"
"Matamata-Piako District","$413,914","$419,289","-1.3%"
"Hamilton City","$556,426","$539,357","3.2%"
"Hamilton - North East","$707,077","$679,803","4.0%"
"Hamilton - Central & North West","$513,254","$498,276","3.0%"
"Hamilton - South East","$507,314","$491,788","3.2%"
"Hamilton - South West","$487,384","$482,593","1.0%"
"Waipa District","$541,141","$514,927","5.1%"
"Otorohanga District","$285,465","$288,008","-0.9%"
"South Waikato District","$217,158","$206,669","5.1%"
"Waitomo District","$192,294","$191,530","0.4%"
"Taupo District","$475,360","$446,364","6.5%"
"Western Bay of Plenty District","$625,371","$612,363","2.1%"
"Tauranga City","$700,305","$687,364","1.9%"
"Rotorua District","$427,132","$393,753","8.5%"
"Whakatane District","$438,436","$399,082","9.9%"
"Kawerau District","$206,844","$181,797","13.8%"
"Opotiki District","$283,513","$294,638","-3.8%"
"Gisborne District","$311,304","$285,855","8.9%"
"Wairoa District","$175,115","$157,176","11.4%"
"Hastings District","$455,678","$420,155","8.5%"
"Napier City","$512,519","$442,986","15.7%"
"Central Hawkes Bay District","$319,700","$281,208","13.7%"
"New Plymouth District","$450,067","$423,157","6.4%"
"Stratford District","$267,204","$236,211","13.1%"
"South Taranaki District","$218,754","$198,533","10.2%"
"Ruapehu District","$194,365","$163,463","18.9%"
"Whanganui District","$255,020","$226,526","12.6%"
"Rangitikei District","$204,733","$186,313","9.9%"
"Manawatu District","$340,819","$308,599","10.4%"
"Palmerston North City","$391,599","$357,752","9.5%"
"Tararua District","$197,597","$175,781","12.4%"
"Horowhenua District","$319,022","$278,503","14.5%"
"Kapiti Coast District","$557,092","$508,221","9.6%"
"Porirua City","$564,489","$509,575","10.8%"
"Upper Hutt City","$491,812","$448,380","9.7%"
"Lower Hutt City","$535,378","$509,860","5.0%"
"Wellington City","$758,020","$726,902","4.3%"
"Wellington - Central & South","$756,859","$730,532","3.6%"
"Wellington - East","$810,297","$785,474","3.2%"
"Wellington - North","$685,190","$643,916","6.4%"
"Wellington - West","$868,905","$843,645","3.0%"
"Masterton District","$347,468","$303,415","14.5%"
"Carterton District","$396,287","$348,811","13.6%"
"South Wairarapa District","$479,944","$412,286","16.4%"
"Tasman District","$574,000","$535,118","7.3%"
"Nelson City","$563,287","$532,120","5.9%"
"Marlborough District","$458,958","$437,984","4.8%"
"Kaikoura District","$410,474","$383,455","7.0%"
"Buller District","$189,000","$186,087","1.6%"
"Grey District","$217,055","$211,263","2.7%"
"Westland District","$239,784","$252,708","-5.1%"
"Hurunui District","$385,235","$376,523","2.3%"
"Waimakariri District","$440,005","$439,901","0.0%"
"Christchurch City","$494,707","$496,378","-0.3%"
"Christchurch - East","$372,273","$372,246","0.0%"
"Christchurch - Hills","$669,350","$664,643","0.7%"
"Christchurch - Central & North","$583,746","$586,427","-0.5%"
"Christchurch - Southwest","$471,922","$475,906","-0.8%"
"Christchurch - Banks Peninsula","$516,466","$507,672","1.7%"
"Selwyn District","$547,662","$546,070","0.3%"
"Ashburton District","$351,972","$347,807","1.2%"
"Timaru District","$358,799","$345,729","3.8%"
"MacKenzie District","$521,108","$460,593","13.1%"
"Waimate District","$245,747","$219,363","12.0%"
"Waitaki District","$305,449","$278,798","9.6%"
"Central Otago District","$490,974","$453,074","8.4%"
"Queenstown-Lakes District","$1,152,201","$1,071,995","7.5%"
"Dunedin City","$409,898","$375,371","9.2%"
"Dunedin - Central & North","$426,882","$388,783","9.8%"
"Dunedin - Peninsular & Coastal","$380,445","$346,370","9.8%"
"Dunedin - South","$389,289","$355,718","9.4%"
"Dunedin - Taieri","$422,578","$390,365","8.3%"
"Clutha District","$206,570","$195,890","5.5%"
"Southland District","$250,789","$253,764","-1.2%"
"Gore District","$216,425","$210,651","2.7%"
"Invercargill City","$265,151","$241,770","9.7%"
