"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
2017-02-01,4669,715,2154,95,298,517,98,14036,151,358,1112,246,265,74,1101,2107,73
2017-03-01,6974,889,2858,85,396,861,93,19596,267,368,1257,256,303,83,1881,2957,59
2017-04-01,4736,724,1781,98,260,598,78,12911,157,325,647,177,316,101,1127,1676,105
2017-05-01,6612,1046,2644,128,419,691,121,17969,264,505,923,323,382,122,1645,1994,119
2017-06-01,4402,767,1746,101,318,577,113,12419,192,334,668,198,277,73,1166,1389,62
2017-07-01,4174,693,1189,50,246,437,61,10290,146,265,522,145,215,79,951,1059,39
2017-08-01,5322,851,2116,114,338,601,109,14542,174,484,647,311,304,95,1445,1537,84
2017-09-01,5037,792,1728,99,269,740,94,13184,153,320,716,186,310,82,1204,1370,78
2017-10-01,5146,946,2079,95,367,636,64,14130,159,398,763,229,300,84,1278,1501,76
2017-11-01,4541,684,1474,106,265,517,73,11651,138,322,680,215,262,84,1037,1203,47
2017-12-01,3258,481,1223,60,188,402,52,8891,123,232,603,140,183,53,774,1070,45
2018-01-01,4996,790,1884,76,315,509,95,14170,154,373,1483,206,294,79,1296,1551,58
2018-02-01,4878,730,2196,85,300,690,66,14309,157,307,944,258,281,73,1211,2051,81
2018-03-01,6252,843,2428,82,321,654,77,17297,165,364,1204,274,288,86,1695,2496,66
2018-04-01,5478,812,2055,86,282,621,106,14444,198,353,773,208,325,90,1390,1604,59
2018-05-01,4990,814,1765,83,274,538,94,13071,185,385,691,175,255,96,1167,1481,76
2018-06-01,4842,768,1727,122,347,596,84,12937,182,358,668,197,281,102,1182,1401,61
2018-07-01,5049,840,1663,124,320,563,102,13364,159,400,716,238,291,82,1345,1401,67
