"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
1997-07-01,4198,863,1520,135,435,757,118,12439,207,348,611,209,366,74,1168,1296,54
1997-08-01,3807,792,1436,140,367,666,104,11498,158,306,514,207,336,67,1118,1326,72
1997-09-01,3940,796,1566,125,411,809,109,11901,193,328,462,161,312,55,1175,1313,57
1997-10-01,3853,817,1370,125,366,603,113,11258,190,311,505,189,298,75,1057,1270,43
1997-11-01,3600,734,1365,113,348,610,93,11011,133,304,522,176,320,51,1204,1315,53
1997-12-01,3878,778,1513,114,357,677,105,11524,188,293,525,187,285,78,1053,1317,53
1998-01-01,3149,690,1478,112,405,592,84,10602,187,247,706,153,228,68,1046,1342,51
1998-02-01,4268,770,1839,130,402,971,123,13358,200,324,768,185,365,88,1342,1428,74
1998-03-01,4416,935,2021,116,387,1020,131,14433,218,358,989,188,334,84,1422,1672,60
1998-04-01,4104,949,1593,119,390,659,111,12225,176,305,602,171,298,68,1146,1392,58
1998-05-01,3883,874,1608,98,405,791,103,12052,207,341,561,170,307,81,1174,1302,51
1998-06-01,4055,869,1483,134,432,660,123,12282,201,322,643,197,278,92,1234,1412,48
1998-07-01,4675,970,1663,148,424,636,113,13228,193,398,497,191,354,89,1215,1521,62
1998-08-01,4410,859,1516,130,448,721,120,12658,173,345,467,159,317,80,1336,1435,61
1998-09-01,4286,863,1521,126,400,664,130,12132,158,300,437,207,284,75,1098,1412,61
1998-10-01,4081,862,1313,121,383,603,122,11517,180,293,490,174,311,74,1050,1317,61
1998-11-01,4361,798,1460,86,435,627,102,12405,165,340,567,187,295,78,1261,1506,50
1998-12-01,4180,846,1452,115,379,679,141,12080,191,375,589,164,325,70,1072,1394,39
1999-01-01,3281,678,1365,133,365,612,78,10541,169,294,683,134,281,78,1017,1264,49
1999-02-01,4605,916,2016,126,462,957,112,14602,195,370,857,199,328,61,1457,1793,56
1999-03-01,5082,989,2210,127,470,1097,147,15844,211,429,995,166,319,101,1600,1730,63
1999-04-01,4369,914,1566,107,402,677,101,12875,182,383,663,172,304,76,1222,1624,36
1999-05-01,4423,937,1810,114,422,619,130,13178,197,354,647,176,298,92,1345,1481,59
1999-06-01,3835,810,1467,113,421,640,124,11812,203,372,559,163,320,86,1111,1481,61
1999-07-01,4449,965,1475,122,423,720,116,12865,156,381,547,185,293,78,1238,1594,59
1999-08-01,4591,854,1583,112,418,742,147,13108,201,365,499,188,349,77,1311,1555,52
1999-09-01,4376,929,1596,124,439,678,110,12704,202,397,465,154,235,69,1228,1591,52
